 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,1541.822,534.651,89.079,302.371,514.181,53.178,44.377,78.484,65.037,30.185,81.038,0.212,2.155,0.464,0.595
2,4208.637,128.835,177.013,1016.155,22.372,88.386,185.575,155.868,94.969,56.425,125.170,0.051,1.683,0.594,0.256
3,1792.403,388.123,184.236,530.049,305.134,159.902,144.499,51.345,116.425,19.602,166.921,0.080,5.939,0.168,0.500
4,1063.256,409.030,245.055,408.380,337.408,189.976,125.795,119.193,137.568,9.841,44.311,0.080,13.979,0.072,0.407
5,221.125,527.019,275.398,92.727,516.748,262.958,17.971,23.839,23.742,11.859,66.060,0.323,2.002,0.499,0.742
6,1114.502,245.830,291.460,279.114,218.949,263.325,60.513,64.181,66.356,21.385,134.367,0.180,3.103,0.322,0.557
7,414.811,461.808,302.995,125.157,437.531,288.631,44.743,25.672,42.290,12.489,27.407,0.333,3.386,0.295,0.741
8,1447.669,188.618,333.910,352.939,127.628,315.037,107.457,55.012,65.952,27.948,172.481,0.146,2.360,0.424,0.447
9,1089.350,536.263,363.376,332.171,498.044,336.675,76.284,62.347,56.515,24.542,21.122,0.124,2.303,0.434,0.406
10,177.680,351.387,420.114,92.460,342.543,412.225,17.604,16.504,15.875,14.251,170.682,0.261,1.114,0.898,0.752
11,1177.315,460.232,487.808,258.849,443.032,445.599,34.474,69.315,56.524,26.520,96.341,0.221,2.131,0.469,0.664
12,531.561,215.485,533.195,148.592,187.408,521.149,53.545,22.372,53.952,12.545,15.531,0.303,4.301,0.233,0.719
13,502.373,539.543,545.693,133.152,525.917,527.384,30.807,36.675,33.129,19.308,121.689,0.356,1.716,0.583,0.766
