 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,904.675,471.805,32.488,189.462,446.333,9.535,57.213,41.076,43.231,26.644,150.777,0.317,1.623,0.616,0.639
2,250.447,275.488,34.735,73.804,266.993,23.472,22.372,21.638,19.040,16.748,28.203,0.578,1.137,0.880,0.861
3,797.476,220.788,42.365,182.934,196.210,24.939,61.247,33.741,43.140,23.537,7.716,0.299,1.833,0.546,0.665
4,811.195,192.355,107.942,159.677,167.604,88.386,48.044,41.809,49.035,21.063,145.254,0.400,2.328,0.430,0.709
5,3252.850,319.257,129.508,719.665,261.491,90.587,108.557,80.318,86.533,47.862,17.347,0.079,1.808,0.553,0.486
6,974.887,143.775,175.184,215.386,130.562,131.296,30.073,76.650,57.411,21.621,89.838,0.264,2.655,0.377,0.724
7,868.090,323.991,187.749,276.662,301.834,166.870,42.176,41.809,40.181,27.508,42.762,0.143,1.461,0.685,0.706
8,818.862,207.395,201.672,341.952,164.303,167.237,112.958,59.780,82.740,12.601,23.451,0.088,6.566,0.152,0.425
9,594.912,422.574,191.113,177.112,387.653,171.638,66.748,45.477,75.053,10.092,145.312,0.238,7.437,0.134,0.784
10,188.575,337.737,208.065,71.818,330.440,197.677,13.570,22.738,21.298,11.273,78.692,0.459,1.889,0.529,0.844
11,121.323,175.232,212.592,56.614,165.770,206.846,19.071,11.369,20.128,7.675,22.254,0.476,2.623,0.381,0.857
12,1463.137,533.161,264.956,299.808,501.345,231.418,61.614,72.983,63.709,29.241,45.957,0.205,2.179,0.459,0.585
13,1000.846,141.283,268.394,181.127,117.726,249.022,44.010,44.010,44.124,28.880,117.642,0.383,1.528,0.655,0.698
14,1241.339,500.420,326.177,317.569,459.535,285.330,67.482,82.152,73.067,21.631,135.056,0.155,3.378,0.296,0.517
15,1531.869,212.269,336.904,483.660,141.565,300.000,162.836,61.980,127.560,15.290,18.014,0.082,8.343,0.120,0.411
16,3696.310,370.852,408.815,1106.254,265.892,308.802,207.946,170.171,81.847,57.501,150.705,0.038,1.423,0.703,0.189
17,235.248,251.874,477.840,94.891,243.888,465.403,19.071,21.638,20.619,14.527,126.423,0.328,1.419,0.705,0.784
