 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,495.783,273.210,55.699,146.244,258.924,35.208,30.440,38.875,35.397,17.834,117.459,0.291,1.985,0.504,0.695
2,463.502,472.280,64.761,114.873,453.667,53.178,37.042,24.572,30.632,19.266,23.603,0.441,1.590,0.629,0.732
3,414.542,347.846,82.791,130.669,331.174,73.716,41.443,19.071,36.408,14.497,4.068,0.305,2.511,0.398,0.643
4,1057.472,528.469,128.270,224.004,505.746,97.922,39.976,63.447,52.267,25.761,108.483,0.265,2.029,0.493,0.643
5,3867.265,446.777,163.193,998.925,379.584,100.122,136.797,122.494,129.187,38.115,129.794,0.049,3.389,0.295,0.466
6,1785.274,120.200,159.744,389.706,84.719,116.993,82.152,83.252,79.451,28.610,52.032,0.148,2.777,0.360,0.534
7,159.118,303.775,130.595,79.509,294.499,121.760,21.271,17.971,23.425,8.649,44.882,0.316,2.709,0.369,0.742
8,4571.933,401.322,300.008,964.767,344.377,230.318,93.521,169.804,123.064,47.302,99.068,0.062,2.602,0.384,0.439
9,1025.460,326.390,253.847,172.702,309.902,231.785,34.108,45.110,41.769,31.259,71.519,0.432,1.336,0.748,0.796
10,1613.916,85.262,295.058,333.853,23.105,273.961,112.225,42.910,88.091,23.327,177.240,0.182,3.776,0.265,0.555
11,1409.470,105.868,359.546,277.521,77.017,331.540,55.746,53.912,58.662,30.592,39.540,0.230,1.918,0.521,0.748
12,593.164,192.805,360.644,136.338,181.174,337.775,25.672,41.076,34.146,22.118,77.748,0.401,1.544,0.648,0.804
13,776.089,227.233,463.373,158.499,206.846,445.232,40.342,34.841,39.155,25.237,155.731,0.388,1.551,0.645,0.788
14,895.664,68.888,480.378,289.340,44.377,458.802,43.643,46.944,36.436,31.299,100.236,0.134,1.164,0.859,0.572
