 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,573.660,198.409,89.957,118.823,176.773,74.450,39.242,30.440,41.914,17.427,142.661,0.511,2.405,0.416,0.871
2,1925.159,331.363,102.085,363.429,282.763,77.017,85.452,57.213,55.762,43.958,168.102,0.183,1.269,0.788,0.575
3,359.126,279.295,124.738,73.070,268.826,113.325,20.905,22.005,21.932,20.849,68.449,0.845,1.052,0.951,0.957
4,821.283,145.684,158.105,115.926,127.995,139.364,35.941,36.308,34.285,30.500,158.819,0.768,1.124,0.890,0.901
5,653.960,430.619,171.069,160.233,401.589,154.401,53.912,38.875,45.064,18.477,146.932,0.320,2.439,0.410,0.693
6,556.309,327.986,169.311,92.193,313.570,156.235,28.606,26.039,31.991,22.141,35.167,0.822,1.445,0.692,0.959
7,524.028,195.704,184.659,143.814,177.506,173.839,43.643,26.406,36.430,18.315,24.633,0.318,1.989,0.503,0.718
8,212.920,338.286,187.338,83.103,326.039,176.406,20.905,23.105,20.654,13.126,119.890,0.387,1.574,0.636,0.720
9,112.849,48.729,189.580,52.428,37.775,183.374,19.804,12.103,22.426,6.407,26.345,0.516,3.500,0.286,0.893
10,1200.988,538.047,242.561,210.838,508.680,216.748,60.880,52.078,68.848,22.210,35.402,0.340,3.100,0.323,0.697
11,743.808,139.590,246.349,131.974,124.328,230.318,30.807,31.907,31.506,30.060,70.492,0.537,1.048,0.954,0.878
12,1341.545,504.980,304.914,281.182,466.504,266.259,72.983,74.083,81.990,20.833,138.478,0.213,3.936,0.254,0.677
13,203.774,305.826,281.906,55.792,297.433,273.594,16.870,16.504,16.196,16.019,78.839,0.823,1.011,0.989,0.879
14,798.014,215.011,313.838,165.960,195.110,299.633,43.643,31.907,42.112,24.128,3.506,0.364,1.745,0.573,0.777
15,863.921,357.218,342.108,259.294,320.538,312.836,87.653,49.511,77.547,14.185,24.103,0.161,5.467,0.183,0.566
16,195.435,318.191,402.614,72.389,309.535,393.888,22.738,16.137,18.742,13.277,175.433,0.469,1.412,0.708,0.804
17,1573.565,407.432,425.170,429.928,332.641,403.423,120.660,46.210,102.882,19.474,163.825,0.107,5.283,0.189,0.578
18,237.400,255.258,457.602,81.028,247.188,444.866,19.438,22.005,20.880,14.476,127.371,0.454,1.442,0.693,0.791
