 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,445.209,471.162,39.386,168.175,452.934,16.137,28.606,43.643,34.592,16.387,103.748,0.198,2.111,0.474,0.496
2,908.172,528.932,60.002,160.040,506.846,41.809,38.509,39.976,38.625,29.937,142.942,0.446,1.290,0.775,0.865
3,542.321,144.052,93.995,115.999,130.196,78.117,28.240,31.540,33.530,20.594,52.943,0.506,1.628,0.614,0.844
4,414.811,403.688,142.183,130.166,383.619,117.359,31.907,42.910,30.930,17.076,60.216,0.308,1.811,0.552,0.671
5,1118.134,289.918,175.104,384.903,262.225,142.665,75.550,68.215,54.762,25.997,143.861,0.095,2.106,0.475,0.424
6,113.253,521.696,218.578,85.036,510.513,207.579,24.572,21.638,14.467,9.967,32.740,0.197,1.452,0.689,0.338
7,185.750,65.761,226.773,105.249,49.144,212.347,30.440,24.939,30.483,7.759,33.227,0.211,3.929,0.255,0.515
8,232.154,422.848,224.464,167.715,410.391,215.281,22.372,19.071,18.098,16.333,165.589,0.104,1.108,0.902,0.689
9,287.974,28.393,240.204,135.604,2.567,231.418,44.010,17.604,40.065,9.152,17.884,0.197,4.378,0.228,0.658
10,115.674,298.258,249.912,114.428,279.095,241.687,31.540,23.839,16.014,9.197,20.272,0.111,1.741,0.574,0.296
11,257.845,484.565,252.391,60.459,476.039,242.787,17.604,19.071,19.496,16.840,62.438,0.886,1.158,0.864,0.953
12,280.845,26.600,257.612,111.650,16.137,246.455,20.171,24.939,22.181,16.121,103.758,0.283,1.376,0.727,0.763
13,241.301,284.175,258.978,85.822,272.861,250.856,22.005,16.504,20.463,15.014,12.883,0.412,1.363,0.734,0.858
14,481.256,405.672,324.782,103.085,390.954,313.570,34.474,23.472,27.478,22.300,1.951,0.569,1.232,0.812,0.865
15,697.001,58.465,387.004,350.962,37.042,344.010,51.711,97.922,40.350,21.994,87.618,0.071,1.835,0.545,0.266
16,161.002,177.690,402.451,80.242,169.804,395.355,17.237,14.670,15.083,13.591,36.043,0.314,1.110,0.901,0.817
17,485.829,209.715,417.167,175.081,187.775,403.056,37.408,31.540,35.041,17.653,146.164,0.199,1.985,0.504,0.616
18,519.321,487.410,465.244,156.188,469.804,441.932,46.577,46.210,42.618,15.515,44.700,0.268,2.747,0.364,0.666
