 ,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,493.092,82.062,32.646,150.378,63.814,19.804,32.641,28.606,30.657,20.479,25.212,0.274,1.497,0.668,0.760
2,2137.810,444.707,56.002,401.552,404.890,28.973,76.650,49.144,75.069,36.259,174.665,0.167,2.070,0.483,0.732
3,171.358,515.782,42.057,123.994,503.545,31.540,20.538,19.438,18.075,12.071,37.771,0.140,1.497,0.668,0.586
4,1514.114,532.412,81.035,386.511,508.313,38.509,48.411,79.218,57.747,33.384,91.205,0.127,1.730,0.578,0.553
5,783.353,140.680,114.831,167.175,123.227,92.787,34.841,41.076,36.966,26.982,92.586,0.352,1.370,0.730,0.740
6,957.805,398.780,160.581,223.804,371.883,128.362,50.244,58.680,46.283,26.349,56.951,0.240,1.757,0.569,0.623
7,1745.192,285.315,190.280,386.594,254.890,160.269,75.550,72.983,65.521,33.913,139.504,0.147,1.932,0.518,0.528
8,708.972,499.776,255.234,307.484,474.572,224.450,57.579,67.482,66.810,13.511,45.598,0.094,4.945,0.202,0.434
9,643.468,442.263,256.594,175.458,421.394,239.853,51.711,31.174,45.525,17.997,155.296,0.263,2.530,0.395,0.698
10,1531.331,283.880,276.374,356.134,246.455,250.489,70.049,48.411,57.571,33.867,12.769,0.152,1.700,0.588,0.569
11,1317.603,396.811,351.563,299.238,364.181,326.406,69.682,50.244,50.062,33.511,31.359,0.185,1.494,0.669,0.569
12,1691.256,45.828,401.956,385.608,18.337,357.213,72.249,103.790,49.875,43.176,97.024,0.143,1.155,0.866,0.359
13,3360.722,199.430,429.694,557.946,154.034,389.120,82.885,82.152,78.631,54.419,135.053,0.136,1.445,0.692,0.702
14,1180.947,477.662,487.939,271.736,452.567,459.902,62.714,58.680,58.864,25.544,46.933,0.201,2.304,0.434,0.589
